Unicode_Value, Character Name
\U00000559, ARMENIAN MODIIFIER LETTER LEFT HALF RING
\U0000055A, ARMENIAN APOSTROPHE
\U0000055B, ARMENIAN EMPHASIS MARK
\U0000055C, ARMENIAN EXCLAMATION MARK
\U0000055D, ARMENIAN COMMA
\U0000055E, ARMENIAN QUESTION MARK
\U0000055F, ARMENIAN ABBREIVATION MARK
\U00000589, ARMENIAN FULL STOP
\U0000058A, ARMENIAN HYPEN
